car_name,brand,model,year,selling_price_lakh,km_driven,fuel,seller_type,transmission,owner,mileage_kmpl,engine_cc,max_power_bhp,seats
Toyota Innova,Toyota,Innova,2022,9.82,69413,Petrol,Individual,Automatic,Second Owner,23.8,881.0,65.5,5
Hyundai Verna,Hyundai,Verna,2017,2.41,86941,Petrol,Individual,Manual,Third Owner,,1048.0,92.3,7
Kia Sonet,Kia,Sonet,2012,3.19,147510,Petrol,Individual,Manual,First Owner,21.0,800.0,75.2,5
Kia Seltos,Kia,Seltos,2014,3.65,131351,CNG,Dealer,Automatic,First Owner,18.6,993.0,74.2,5
Maruti Wagon R,Maruti,Wagon R,2020,3.25,60557,Petrol,Dealer,Manual,First Owner,24.7,800.0,69.5,5
Maruti Dzire,Maruti,Dzire,2014,1.74,149829,Diesel,Dealer,Automatic,First Owner,20.9,800.0,69.5,5
Maruti Dzire,Maruti,Dzire,2015,1.98,119250,CNG,Individual,Manual,Third Owner,22.4,1241.0,82.2,5
Toyota Fortuner,Toyota,Fortuner,2019,8.25,52960,Electric,Individual,Manual,First Owner,16.5,1387.0,98.7,5
Maruti Swift,Maruti,Swift,2015,1.89,115870,Diesel,Individual,Manual,Second Owner,21.4,1189.0,94.7,5
Renault Kiger,Renault,Kiger,2013,2.12,136186,CNG,Dealer,Automatic,Second Owner,19.5,1025.0,61.3,5
Volkswagen Taigun,Volkswagen,Taigun,2020,4.03,105901,Petrol,Individual,Manual,First Owner,21.9,868.0,67.4,7
Renault Kiger,Renault,Kiger,2020,3.81,77075,Petrol,Dealer,Automatic,First Owner,16.5,1089.0,77.8,7
Honda City,Honda,City,2021,5.27,96214,Petrol,Individual,Manual,First Owner,,912.0,66.0,5
Mahindra Scorpio,Mahindra,Scorpio,2024,9.99,62617,Electric,Dealer,Automatic,First Owner,16.3,1178.0,79.9,5
Maruti Baleno,Maruti,Baleno,2013,2.08,101068,CNG,Individual,Manual,First Owner,21.1,800.0,60.9,5
Tata Harrier,Tata,Harrier,2017,2.76,72866,Petrol,Dealer,Manual,Third Owner,13.9,1445.0,97.0,5
Hyundai Verna,Hyundai,Verna,2015,2.39,141696,Petrol,Dealer,Manual,First Owner,19.2,1002.0,79.1,7
Mahindra XUV500,Mahindra,XUV500,2023,8.25,91311,Petrol,Individual,Manual,First Owner,19.8,1332.0,92.1,5
Honda Amaze,Honda,Amaze,2019,4.58,98104,Petrol,Individual,Manual,First Owner,17.7,1511.0,96.7,7
Volkswagen Vento,Volkswagen,Vento,2013,2.32,162905,Diesel,Individual,Manual,First Owner,15.2,1315.0,80.6,5
Maruti Swift,Maruti,Swift,2020,3.24,107745,Petrol,Individual,Manual,First Owner,13.0,1480.0,92.6,7
Mahindra Scorpio,Mahindra,Scorpio,2012,2.56,151539,Diesel,Dealer,Automatic,Second Owner,21.5,800.0,61.1,7
Honda City,Honda,City,2015,2.89,96951,Diesel,Individual,Manual,First Owner,22.5,1028.0,65.9,5
Honda WR-V,Honda,WR-V,2021,6.34,116091,Petrol,Dealer,Automatic,First Owner,14.3,1586.0,109.8,7
Mahindra XUV500,Mahindra,XUV500,2018,4.46,109298,Petrol,Individual,Manual,First Owner,21.5,1378.0,94.2,5
Tata Harrier,Tata,Harrier,2021,5.74,69511,Electric,Dealer,Automatic,First Owner,14.7,1847.0,,5
Tata Tiago,Tata,Tiago,2019,3.79,76298,Diesel,Individual,Manual,First Owner,11.1,1797.0,108.7,5
Toyota Etios,Toyota,Etios,2022,9.4,77149,Petrol,Individual,Manual,Second Owner,14.6,1305.0,80.1,5
Maruti Baleno,Maruti,Baleno,2019,3.54,54236,Petrol,Individual,Manual,First Owner,20.4,1112.0,85.2,5
Hyundai Creta,Hyundai,Creta,2012,2.16,151892,CNG,Dealer,Manual,Second Owner,,865.0,63.6,5
Maruti Swift,Maruti,Swift,2012,2.4,115521,Diesel,Individual,Manual,Second Owner,22.2,1033.0,70.2,5
Maruti Wagon R,Maruti,Wagon R,2022,4.21,79653,Diesel,Dealer,Manual,First Owner,16.7,1057.0,78.7,5
Renault Kiger,Renault,Kiger,2012,2.11,125024,Diesel,Individual,Automatic,First Owner,19.7,992.0,74.9,5
Toyota Etios,Toyota,Etios,2016,4.0,104682,CNG,Trustmark Dealer,Manual,Second Owner,20.1,879.0,53.3,5
Hyundai Creta,Hyundai,Creta,2012,2.4,119847,Petrol,Dealer,Manual,Third Owner,17.3,1341.0,99.8,7
Tata Altroz,Tata,Altroz,2015,2.73,113452,Diesel,Dealer,Automatic,First Owner,14.3,1794.0,110.4,5
Tata Altroz,Tata,Altroz,2019,2.78,132566,Petrol,Dealer,Manual,First Owner,15.8,1527.0,112.6,5
Toyota Fortuner,Toyota,Fortuner,2014,4.04,153971,Diesel,Individual,Manual,First Owner,19.3,1087.0,64.1,7
Kia Seltos,Kia,Seltos,2018,6.03,105298,Electric,Dealer,Automatic,Second Owner,17.0,1555.0,103.1,5
Kia Sonet,Kia,Sonet,2024,13.27,57943,Electric,Individual,Automatic,Second Owner,18.2,1321.0,86.2,5
Tata Nexon,Tata,Nexon,2012,2.37,155072,Petrol,Dealer,Automatic,Second Owner,20.8,1186.0,64.4,5
Hyundai Verna,Hyundai,Verna,2012,3.02,161359,Diesel,Individual,Automatic,First Owner,16.1,1164.0,84.3,7
Tata Tiago,Tata,Tiago,2015,2.14,98743,CNG,Individual,Manual,First Owner,15.1,1130.0,61.8,5
Honda City,Honda,City,2022,7.1,69796,Electric,Dealer,Manual,Second Owner,19.1,1428.0,91.2,5
Tata Nexon,Tata,Nexon,2017,2.22,63916,Diesel,Individual,Manual,First Owner,16.2,1249.0,92.5,5
Toyota Glanza,Toyota,Glanza,2020,7.37,109208,Petrol,Individual,Automatic,Second Owner,19.0,945.0,62.7,5
Honda Amaze,Honda,Amaze,2012,2.66,181930,Petrol,Individual,Automatic,First Owner,18.6,928.0,58.8,5
Hyundai Creta,Hyundai,Creta,2021,5.21,79761,CNG,Dealer,Manual,Second Owner,16.5,1307.0,93.3,7
Hyundai Grand i10,Hyundai,Grand i10,2012,2.45,89749,Diesel,Individual,Manual,Second Owner,14.6,1350.0,87.3,7
Tata Tiago,Tata,Tiago,2021,4.3,91395,Diesel,Individual,Manual,First Owner,17.8,1090.0,71.7,7
Maruti Wagon R,Maruti,Wagon R,2013,1.96,110110,Diesel,Trustmark Dealer,Manual,First Owner,21.8,804.0,69.4,5
Maruti Swift,Maruti,Swift,2023,5.09,50406,Petrol,Trustmark Dealer,Automatic,Second Owner,15.9,1638.0,95.8,5
Ford Endeavour,Ford,Endeavour,2015,2.49,130784,Petrol,Individual,Manual,First Owner,17.3,1564.0,97.3,7
Tata Harrier,Tata,Harrier,2014,2.21,129100,Diesel,Individual,Manual,Second Owner,19.6,800.0,65.9,5
Hyundai Creta,Hyundai,Creta,2016,2.93,99761,Petrol,Individual,Automatic,First Owner,17.5,1669.0,96.9,5
Honda Jazz,Honda,Jazz,2012,2.71,122208,Diesel,Trustmark Dealer,Manual,First Owner,17.7,1127.0,91.2,5
Volkswagen Taigun,Volkswagen,Taigun,2014,2.85,126268,Diesel,Individual,Manual,First Owner,13.7,1266.0,82.9,5
Hyundai Verna,Hyundai,Verna,2019,4.56,81991,Diesel,Individual,Manual,Third Owner,16.8,1598.0,109.9,5
Renault Triber,Renault,Triber,2015,2.16,92596,Petrol,Individual,Manual,Second Owner,16.7,1778.0,119.8,5
Kia EV6,Kia,EV6,2016,4.67,103183,Diesel,Individual,Manual,Second Owner,,1551.0,99.1,5
Toyota Innova,Toyota,Innova,2022,8.4,78971,Petrol,Individual,Manual,Second Owner,20.3,1284.0,81.8,5
Ford EcoSport,Ford,EcoSport,2013,2.48,126081,Petrol,Dealer,Manual,First Owner,18.9,800.0,58.7,5
Maruti Swift,Maruti,Swift,2017,1.96,72902,Petrol,Individual,Manual,Third Owner,21.9,800.0,64.7,7
Mahindra Bolero,Mahindra,Bolero,2014,2.9,145259,Petrol,Individual,Manual,First Owner,20.1,1507.0,90.0,5
Tata Altroz,Tata,Altroz,2018,3.37,37246,CNG,Dealer,Manual,First Owner,,1670.0,97.2,5
Kia Seltos,Kia,Seltos,2016,3.61,100679,CNG,Individual,Automatic,First Owner,19.5,915.0,77.2,5
Honda City,Honda,City,2012,2.61,122855,Petrol,Individual,Manual,First Owner,18.6,,70.0,5
Maruti Wagon R,Maruti,Wagon R,2012,2.19,139759,Diesel,Individual,Manual,Second Owner,22.7,1005.0,73.1,5
Maruti Dzire,Maruti,Dzire,2023,4.62,77356,Petrol,Dealer,Automatic,First Owner,20.3,996.0,68.2,5
Ford Aspire,Ford,Aspire,2012,2.42,161288,Diesel,Individual,Manual,Second Owner,20.5,1576.0,100.4,5
Honda City,Honda,City,2022,6.31,55827,CNG,Dealer,Manual,Third Owner,18.5,1276.0,96.6,5
Maruti Swift,Maruti,Swift,2023,5.2,77904,Diesel,Individual,Automatic,First Owner,17.5,1120.0,75.9,5
Volkswagen Taigun,Volkswagen,Taigun,2018,2.91,101808,Petrol,Individual,Manual,First Owner,12.0,2130.0,129.3,5
Renault Kiger,Renault,Kiger,2016,2.31,72846,Petrol,Individual,Manual,Second Owner,20.7,800.0,56.8,5
Honda WR-V,Honda,WR-V,2022,6.12,113311,Petrol,Individual,Automatic,First Owner,13.2,1392.0,87.5,5
Tata Altroz,Tata,Altroz,2024,6.64,26846,CNG,Individual,Manual,Second Owner,19.4,833.0,55.5,5
Maruti Swift,Maruti,Swift,2013,1.94,139228,Diesel,Dealer,Manual,First Owner,17.7,1145.0,74.0,5
Volkswagen Virtus,Volkswagen,Virtus,2024,6.82,67079,Petrol,Individual,Manual,First Owner,18.5,1252.0,97.2,5
Hyundai Creta,Hyundai,Creta,2024,7.05,64564,Petrol,Individual,Manual,First Owner,20.6,1496.0,103.0,5
Kia Sonet,Kia,Sonet,2013,3.49,119119,CNG,Trustmark Dealer,Automatic,First Owner,18.9,1109.0,73.2,5
Tata Altroz,Tata,Altroz,2012,2.33,154699,Petrol,Individual,Manual,First Owner,15.2,1072.0,81.8,7
Honda WR-V,Honda,WR-V,2021,5.6,43671,Diesel,Individual,Manual,First Owner,17.0,1102.0,62.9,7
Hyundai Creta,Hyundai,Creta,2013,2.51,128551,Diesel,Individual,Manual,First Owner,21.0,822.0,71.2,5
Maruti Wagon R,Maruti,Wagon R,2019,3.63,78594,Petrol,Individual,Automatic,Second Owner,17.3,1421.0,103.5,5
Volkswagen Taigun,Volkswagen,Taigun,2012,2.61,121599,Petrol,Trustmark Dealer,Manual,First Owner,21.0,1298.0,,5
Honda WR-V,Honda,WR-V,2020,4.58,93932,Petrol,Trustmark Dealer,Manual,First Owner,19.4,1352.0,97.5,5
Honda WR-V,Honda,WR-V,2015,2.67,140704,Petrol,Individual,Manual,First Owner,20.3,1176.0,83.2,5
Mahindra XUV500,Mahindra,XUV500,2013,3.13,122448,Diesel,Trustmark Dealer,Manual,First Owner,18.3,1132.0,87.6,5
Mahindra Bolero,Mahindra,Bolero,2012,2.82,153674,Diesel,Individual,Manual,First Owner,18.2,1611.0,98.6,5
Renault Duster,Renault,Duster,2014,2.43,124594,Petrol,Trustmark Dealer,Automatic,Second Owner,14.6,1558.0,97.5,7
Maruti Wagon R,Maruti,Wagon R,2019,2.72,71359,Petrol,Dealer,Manual,First Owner,17.5,1695.0,107.7,5
Toyota Glanza,Toyota,Glanza,2012,4.17,130825,Petrol,Individual,Manual,Second Owner,17.0,1330.0,99.1,5
Kia EV6,Kia,EV6,2022,8.37,64911,Petrol,Dealer,Manual,First Owner,12.8,1673.0,100.2,7
Tata Altroz,Tata,Altroz,2019,3.74,75673,Diesel,Dealer,Manual,First Owner,20.3,1054.0,65.3,5
Maruti Wagon R,Maruti,Wagon R,2015,1.61,126426,Diesel,Individual,Manual,First Owner,21.5,1130.0,79.0,5
Renault Duster,Renault,Duster,2024,6.4,63662,Diesel,Individual,Automatic,Second Owner,15.2,1618.0,109.7,7
Honda Jazz,Honda,Jazz,2020,4.5,49505,Petrol,Dealer,Manual,Third Owner,19.8,1495.0,91.6,5
Honda Amaze,Honda,Amaze,2020,6.31,48166,Diesel,Individual,Automatic,First Owner,15.6,1098.0,80.8,5
Mahindra XUV500,Mahindra,XUV500,2014,2.67,132843,Petrol,Individual,Manual,Third Owner,18.0,834.0,71.8,5
Toyota Glanza,Toyota,Glanza,2021,10.52,60063,Electric,Individual,Manual,First Owner,18.4,1129.0,86.7,5
Tata Tiago,Tata,Tiago,2019,3.12,97644,Diesel,Dealer,Manual,First Owner,18.9,960.0,70.6,5
Tata Harrier,Tata,Harrier,2024,6.12,75680,CNG,Individual,Manual,Second Owner,13.6,1804.0,113.5,7
Tata Tiago,Tata,Tiago,2018,3.07,69539,Petrol,Individual,Manual,First Owner,,1466.0,109.5,5
Maruti Swift,Maruti,Swift,2020,4.6,53446,Petrol,Individual,Automatic,First Owner,18.8,932.0,66.4,7
Volkswagen Polo,Volkswagen,Polo,2016,3.0,147337,Diesel,Individual,Automatic,First Owner,19.6,834.0,68.4,5
Renault Kiger,Renault,Kiger,2012,2.35,144234,Petrol,Dealer,Automatic,Second Owner,20.4,928.0,81.7,7
Hyundai Verna,Hyundai,Verna,2013,3.37,120776,Diesel,Individual,Automatic,First Owner,18.1,1004.0,76.9,5
Hyundai Creta,Hyundai,Creta,2023,6.46,44453,Petrol,Dealer,Manual,Second Owner,18.4,1142.0,69.8,5
Kia Carens,Kia,Carens,2021,8.03,66770,Electric,Individual,Manual,First Owner,14.9,1590.0,92.5,7
Maruti Swift,Maruti,Swift,2016,1.94,84307,Petrol,Dealer,Manual,Second Owner,17.8,862.0,60.0,7
Honda City,Honda,City,2021,6.03,97435,CNG,Individual,Automatic,First Owner,15.4,2001.0,130.7,5
Tata Nexon,Tata,Nexon,2012,1.7,119411,Petrol,Dealer,Manual,First Owner,23.6,870.0,66.4,5
Ford Endeavour,Ford,Endeavour,2012,2.19,160557,Petrol,Individual,Manual,First Owner,22.7,800.0,76.7,5
Maruti Swift,Maruti,Swift,2018,2.61,88686,Petrol,Dealer,Manual,First Owner,15.7,1791.0,117.0,5
Ford EcoSport,Ford,EcoSport,2020,4.31,61546,Petrol,Individual,Manual,First Owner,14.5,1662.0,103.8,5
Tata Harrier,Tata,Harrier,2024,6.62,49121,Electric,Individual,Automatic,First Owner,18.1,1136.0,68.4,5
Toyota Etios,Toyota,Etios,2021,8.86,20268,CNG,Individual,Manual,First Owner,19.7,1333.0,97.8,5
Maruti Baleno,Maruti,Baleno,2015,1.94,114343,Electric,Individual,Manual,First Owner,13.0,1342.0,88.8,5
Tata Harrier,Tata,Harrier,2022,7.03,67757,Electric,Individual,Automatic,Third Owner,17.3,1248.0,71.6,7
Honda City,Honda,City,2018,3.41,115644,Diesel,Dealer,Manual,First Owner,22.0,800.0,59.2,5
Hyundai Creta,Hyundai,Creta,2022,4.84,30001,Petrol,Dealer,Manual,First Owner,18.3,800.0,51.0,7
Maruti Baleno,Maruti,Baleno,2014,1.74,149061,CNG,Dealer,Manual,First Owner,20.8,904.0,61.3,5
Maruti Baleno,Maruti,Baleno,2012,1.96,154553,Petrol,Trustmark Dealer,Manual,First Owner,15.6,1836.0,116.0,5
Hyundai Grand i10,Hyundai,Grand i10,2012,2.54,164044,Diesel,Individual,Manual,First Owner,,1849.0,109.5,5
Maruti Swift,Maruti,Swift,2024,4.69,57340,Petrol,Individual,Manual,Second Owner,19.0,1108.0,72.0,5
Mahindra XUV500,Mahindra,XUV500,2013,2.61,152305,Diesel,Dealer,Manual,First Owner,19.0,865.0,56.6,5
Tata Altroz,Tata,Altroz,2024,6.09,26132,Petrol,Individual,Manual,First Owner,18.6,1297.0,80.6,7
Volkswagen Vento,Volkswagen,Vento,2021,4.69,93687,Petrol,Individual,Manual,First Owner,18.8,1354.0,81.4,5
Mahindra Bolero,Mahindra,Bolero,2013,2.86,113034,Petrol,Individual,Automatic,First Owner,18.0,1410.0,88.7,5
Maruti Wagon R,Maruti,Wagon R,2023,4.75,28669,Petrol,Individual,Manual,First Owner,20.7,800.0,51.8,5
Toyota Innova,Toyota,Innova,2013,3.96,105268,Petrol,Individual,Manual,Third Owner,12.8,2305.0,146.5,5
Kia Seltos,Kia,Seltos,2013,3.74,130121,Petrol,Individual,Manual,First Owner,13.8,1596.0,104.4,5
Toyota Fortuner,Toyota,Fortuner,2019,6.99,72865,Petrol,Dealer,Manual,First Owner,18.7,1131.0,86.8,5
Tata Tiago,Tata,Tiago,2015,2.32,125273,Diesel,Dealer,Automatic,Second Owner,18.1,949.0,82.3,5
Tata Nexon,Tata,Nexon,2015,2.28,77218,Petrol,Trustmark Dealer,Manual,Second Owner,18.5,1546.0,105.4,5
Maruti Swift,Maruti,Swift,2014,2.08,76703,Diesel,Individual,Manual,Second Owner,18.7,1373.0,94.1,5
Honda Amaze,Honda,Amaze,2019,3.88,121192,Petrol,Individual,Manual,Second Owner,19.5,1232.0,88.7,5
Mahindra Bolero,Mahindra,Bolero,2012,3.17,156383,Diesel,Dealer,Automatic,First Owner,20.9,1360.0,93.5,7
Mahindra XUV500,Mahindra,XUV500,2015,3.07,93915,Petrol,Individual,Manual,First Owner,17.9,1161.0,79.3,5
Maruti Baleno,Maruti,Baleno,2019,3.29,90934,Petrol,Individual,Automatic,Second Owner,16.5,1341.0,88.5,5
Ford Endeavour,Ford,Endeavour,2018,3.5,119929,Diesel,Dealer,Manual,Second Owner,16.2,1454.0,86.8,7
Hyundai i20,Hyundai,i20,2021,5.23,87222,Diesel,Dealer,Manual,Second Owner,14.5,1320.0,,5
Kia Seltos,Kia,Seltos,2014,3.08,126760,Petrol,Individual,Manual,First Owner,14.7,1302.0,86.4,5
Maruti Swift,Maruti,Swift,2020,2.85,108593,Petrol,Dealer,Manual,Second Owner,16.9,1688.0,119.4,5
Kia Carens,Kia,Carens,2021,7.85,61924,Petrol,Dealer,Manual,First Owner,17.8,800.0,66.3,5
Renault Triber,Renault,Triber,2017,2.26,104685,Petrol,Dealer,Manual,First Owner,17.7,921.0,60.6,5
Maruti Swift,Maruti,Swift,2015,1.95,116607,Petrol,Individual,Manual,First Owner,18.1,1209.0,91.5,5
Maruti Baleno,Maruti,Baleno,2019,3.07,84999,Diesel,Dealer,Manual,First Owner,18.9,945.0,46.5,5
Renault Triber,Renault,Triber,2019,3.22,82424,Petrol,Dealer,Manual,Second Owner,20.9,1061.0,88.8,7
Maruti Swift,Maruti,Swift,2013,2.04,131603,Diesel,Individual,Manual,First Owner,15.9,1651.0,,5
Honda City,Honda,City,2019,3.95,91756,Petrol,Dealer,Manual,First Owner,17.0,1148.0,82.1,5
Kia Carens,Kia,Carens,2014,3.83,100434,Petrol,Dealer,Manual,First Owner,22.5,800.0,62.4,7
Honda Jazz,Honda,Jazz,2019,3.79,108639,Petrol,Individual,Manual,First Owner,20.6,1052.0,81.8,5
Tata Harrier,Tata,Harrier,2024,5.69,37019,Petrol,Individual,Manual,First Owner,15.4,1220.0,79.5,5
Tata Altroz,Tata,Altroz,2018,2.46,92698,Petrol,Individual,Manual,First Owner,18.8,1214.0,64.6,5
Maruti Dzire,Maruti,Dzire,2021,3.91,71503,Diesel,Dealer,Manual,Second Owner,15.8,1395.0,89.1,5
Mahindra Bolero,Mahindra,Bolero,2016,3.31,118378,Diesel,Individual,Manual,First Owner,15.9,1366.0,88.4,5
Hyundai i20,Hyundai,i20,2023,6.28,18379,Petrol,Individual,Manual,First Owner,22.3,1151.0,61.9,5
Maruti Wagon R,Maruti,Wagon R,2022,3.89,91100,Petrol,Individual,Automatic,First Owner,20.8,800.0,59.4,7
Hyundai Grand i10,Hyundai,Grand i10,2023,6.37,50106,CNG,Dealer,Manual,First Owner,18.8,1046.0,63.9,5
Mahindra Bolero,Mahindra,Bolero,2021,5.05,104839,Petrol,Dealer,Manual,First Owner,19.7,982.0,74.2,7
Maruti Wagon R,Maruti,Wagon R,2020,3.75,73980,Petrol,Individual,Manual,Third Owner,20.6,1100.0,73.5,5
Renault Kiger,Renault,Kiger,2018,3.26,96425,CNG,Individual,Automatic,First Owner,15.6,1442.0,110.0,5
Ford Endeavour,Ford,Endeavour,2024,5.9,100603,Petrol,Individual,Automatic,First Owner,16.5,,,5
Renault Kiger,Renault,Kiger,2023,5.58,58898,Petrol,Individual,Automatic,Second Owner,18.0,1488.0,100.3,5
Mahindra Scorpio,Mahindra,Scorpio,2017,2.73,131254,Petrol,Dealer,Manual,Second Owner,16.0,1066.0,71.9,5
Renault Kiger,Renault,Kiger,2013,1.94,130858,Diesel,Individual,Manual,First Owner,17.4,1728.0,97.1,5
Mahindra Scorpio,Mahindra,Scorpio,2012,2.72,145639,Petrol,Dealer,Manual,First Owner,13.8,1435.0,92.3,5
Maruti Baleno,Maruti,Baleno,2015,2.14,118539,Diesel,Dealer,Manual,Third Owner,17.6,1239.0,89.2,5
Volkswagen Polo,Volkswagen,Polo,2012,2.62,155152,Petrol,Dealer,Automatic,First Owner,14.0,1411.0,97.4,5
Honda WR-V,Honda,WR-V,2014,2.59,108418,Petrol,Individual,Manual,First Owner,17.5,963.0,65.6,5
Honda Jazz,Honda,Jazz,2013,2.19,108350,Petrol,Individual,Manual,Second Owner,23.2,800.0,47.3,5
Kia EV6,Kia,EV6,2024,10.37,44451,Diesel,Individual,Automatic,Second Owner,21.6,988.0,74.5,7
Mahindra XUV500,Mahindra,XUV500,2013,2.94,132193,Petrol,Trustmark Dealer,Manual,Third Owner,19.2,1462.0,98.8,5
Ford Figo,Ford,Figo,2020,4.32,79641,Diesel,Dealer,Automatic,First Owner,15.3,1228.0,89.3,5
Honda City,Honda,City,2016,2.91,126126,Petrol,Dealer,Manual,Third Owner,16.5,1152.0,76.2,5
Tata Harrier,Tata,Harrier,2014,1.94,152204,Petrol,Dealer,Manual,First Owner,20.7,903.0,51.2,5
Tata Altroz,Tata,Altroz,2021,4.51,56531,Petrol,Individual,Manual,Second Owner,22.0,800.0,63.3,5
Tata Harrier,Tata,Harrier,2024,6.03,42353,Petrol,Dealer,Manual,Second Owner,14.0,1699.0,108.4,7
Tata Tiago,Tata,Tiago,2022,4.67,39902,Petrol,Dealer,Manual,First Owner,17.6,1127.0,88.1,5
Maruti Wagon R,Maruti,Wagon R,2024,5.11,103168,Diesel,Individual,Manual,First Owner,16.9,1050.0,73.0,7
Maruti Baleno,Maruti,Baleno,2019,2.68,97702,CNG,Trustmark Dealer,Manual,First Owner,23.0,965.0,67.7,5
Volkswagen Virtus,Volkswagen,Virtus,2020,4.34,95055,Diesel,Dealer,Manual,Second Owner,14.9,1639.0,108.5,7
Tata Harrier,Tata,Harrier,2013,2.15,100515,Diesel,Trustmark Dealer,Automatic,First Owner,16.7,1508.0,93.2,7
Kia Sonet,Kia,Sonet,2023,9.19,64974,Petrol,Dealer,Manual,Second Owner,20.4,861.0,57.2,5
Toyota Glanza,Toyota,Glanza,2021,8.5,89203,Diesel,Individual,Manual,First Owner,18.3,1608.0,102.7,7
Maruti Baleno,Maruti,Baleno,2015,2.07,111439,Petrol,Dealer,Manual,First Owner,16.7,1149.0,70.8,5
Maruti Swift,Maruti,Swift,2016,2.21,134165,Diesel,Individual,Automatic,First Owner,21.9,986.0,67.4,5
Hyundai i20,Hyundai,i20,2019,4.24,141860,CNG,Dealer,Automatic,Second Owner,16.3,1097.0,90.9,5
Mahindra XUV500,Mahindra,XUV500,2012,2.98,115664,Petrol,Individual,Automatic,First Owner,22.2,926.0,74.3,5
Hyundai Verna,Hyundai,Verna,2022,5.56,49014,CNG,Dealer,Automatic,First Owner,17.1,800.0,61.5,5
Honda WR-V,Honda,WR-V,2015,3.17,97689,Diesel,Individual,Manual,First Owner,16.6,1472.0,108.4,5
Kia Seltos,Kia,Seltos,2012,3.16,171836,Petrol,Individual,Manual,Second Owner,22.0,1123.0,70.2,5
Mahindra Scorpio,Mahindra,Scorpio,2016,2.74,133431,CNG,Individual,Manual,Second Owner,18.5,1416.0,112.8,5
Hyundai i20,Hyundai,i20,2022,6.53,68518,Petrol,Dealer,Automatic,First Owner,18.6,1301.0,82.9,5
Maruti Baleno,Maruti,Baleno,2015,1.99,117804,Petrol,Individual,Manual,First Owner,15.2,1392.0,107.6,5
Maruti Dzire,Maruti,Dzire,2019,3.09,73036,Petrol,Individual,Manual,First Owner,19.1,800.0,75.0,5
Maruti Dzire,Maruti,Dzire,2022,4.18,91080,Diesel,Individual,Automatic,First Owner,22.7,897.0,50.3,5
Maruti Baleno,Maruti,Baleno,2012,2.25,128142,Petrol,Individual,Automatic,Second Owner,18.2,1399.0,103.7,5
Honda City,Honda,City,2021,5.75,72278,CNG,Trustmark Dealer,Automatic,First Owner,22.3,800.0,56.7,5
Kia EV6,Kia,EV6,2015,3.71,130393,Petrol,Individual,Manual,First Owner,17.8,1331.0,83.7,5
Honda City,Honda,City,2021,5.65,73864,Petrol,Individual,Manual,Second Owner,20.0,800.0,63.2,5
Toyota Innova,Toyota,Innova,2014,4.52,118330,Diesel,Individual,Manual,First Owner,19.8,1206.0,73.3,5
Hyundai Creta,Hyundai,Creta,2013,2.53,130232,Petrol,Individual,Manual,First Owner,15.7,1763.0,116.0,5
Volkswagen Virtus,Volkswagen,Virtus,2022,6.05,88997,Diesel,Individual,Manual,First Owner,,1471.0,88.4,5
Toyota Glanza,Toyota,Glanza,2022,9.13,107722,Petrol,Individual,Manual,First Owner,17.7,800.0,60.4,5
Renault Duster,Renault,Duster,2024,7.33,71380,Electric,Individual,Automatic,First Owner,18.6,1497.0,108.0,7
Mahindra Scorpio,Mahindra,Scorpio,2020,5.29,102172,Diesel,Individual,Manual,First Owner,15.7,1838.0,119.2,5
Hyundai i20,Hyundai,i20,2018,3.63,93103,Petrol,Individual,Manual,First Owner,11.7,2179.0,132.0,5
Maruti Baleno,Maruti,Baleno,2014,2.06,107928,Petrol,Dealer,Automatic,First Owner,19.8,1366.0,94.5,5
Hyundai Verna,Hyundai,Verna,2015,2.69,131387,Petrol,Individual,Manual,Second Owner,21.0,800.0,47.7,5
Tata Altroz,Tata,Altroz,2020,3.81,88267,Electric,Dealer,Manual,First Owner,18.0,1352.0,82.6,5
Mahindra Thar,Mahindra,Thar,2016,3.27,79202,Diesel,Dealer,Manual,First Owner,17.0,1759.0,,5
Tata Altroz,Tata,Altroz,2018,2.81,90282,Petrol,Dealer,Manual,First Owner,20.0,1135.0,83.7,5
Volkswagen Virtus,Volkswagen,Virtus,2014,2.67,121676,Petrol,Individual,Automatic,First Owner,16.9,1565.0,104.3,5
Honda Jazz,Honda,Jazz,2017,2.99,92769,CNG,Dealer,Manual,First Owner,19.6,906.0,69.1,5
Maruti Wagon R,Maruti,Wagon R,2015,1.64,149598,Petrol,Dealer,Manual,First Owner,21.6,1330.0,87.9,5
Hyundai Grand i10,Hyundai,Grand i10,2013,3.21,140556,Diesel,Trustmark Dealer,Automatic,Second Owner,19.1,800.0,52.7,7
Toyota Glanza,Toyota,Glanza,2013,3.55,160209,Diesel,Dealer,Manual,First Owner,21.7,867.0,74.6,5
Ford Figo,Ford,Figo,2018,3.07,103295,Petrol,Individual,Automatic,Second Owner,18.2,1198.0,75.3,5
Tata Altroz,Tata,Altroz,2016,2.04,112290,Petrol,Trustmark Dealer,Manual,First Owner,19.9,1073.0,77.4,5
Hyundai Verna,Hyundai,Verna,2013,2.81,109394,Petrol,Dealer,Automatic,First Owner,23.0,800.0,58.1,5
Ford EcoSport,Ford,EcoSport,2018,3.3,97762,Petrol,Individual,Manual,First Owner,18.7,1025.0,75.9,5
Maruti Wagon R,Maruti,Wagon R,2014,2.25,123787,Electric,Individual,Manual,First Owner,18.9,1315.0,82.5,5
Kia Sonet,Kia,Sonet,2012,4.61,106423,Diesel,Trustmark Dealer,Automatic,Second Owner,19.0,1170.0,,5
